site,st,ed,dtH,Obs,EMEP_noBD,EMEP_BD,MATCH_noBD,MATCH_BD
DK0012R,2019-05-20 07:00:00,2019-05-21 07:00:00,24.0,0.305,0.240775,0.23554583333333334,0.28987083333333336,0.2877625
DK0012R,2019-05-21 07:00:00,2019-05-22 07:00:00,24.0,0.748,0.5369666666666667,0.5169916666666666,0.22377083333333334,0.22070416666666662
DK0012R,2019-05-23 07:00:00,2019-05-24 07:00:00,24.0,0.638,0.3297625,0.3246583333333333,0.39243333333333336,0.39344166666666663
DK0012R,2019-05-24 07:00:00,2019-05-25 07:00:00,24.0,0.525,0.22265416666666668,0.21682916666666666,0.20014166666666666,0.20052499999999998
DK0012R,2019-05-25 07:00:00,2019-05-26 07:00:00,24.0,0.38,0.23154583333333334,0.22907916666666664,0.13041666666666665,0.13055833333333333
DK0012R,2019-05-26 07:00:00,2019-05-27 07:00:00,24.0,0.213,0.18707083333333333,0.1679125,0.14526666666666666,0.14541666666666667
DK0012R,2019-05-27 07:00:00,2019-05-28 07:00:00,24.0,0.371,0.1693583333333333,0.16017083333333335,0.2494208333333333,0.24963749999999998
DK0012R,2019-05-28 07:00:00,2019-05-29 07:00:00,24.0,0.231,0.07535833333333333,0.07469999999999999,0.10689166666666668,0.10690833333333334
DK0012R,2019-05-29 07:00:00,2019-05-30 07:00:00,24.0,0.273,0.10727083333333333,0.10720416666666666,0.10954166666666665,0.1095375
DK0012R,2019-05-30 07:00:00,2019-05-31 07:00:00,24.0,0.664,0.2837625,0.267625,0.3063666666666667,0.3071083333333333
DK0012R,2019-05-31 07:00:00,2019-06-01 07:00:00,24.0,0.463,0.18918333333333334,0.1819875,0.35803333333333337,0.35810416666666667
DK0012R,2019-06-01 07:00:00,2019-06-02 07:00:00,24.0,0.501,0.13230833333333333,0.12598333333333334,0.46135416666666673,0.4609750000000001
DK0012R,2019-06-02 07:00:00,2019-06-03 07:00:00,24.0,0.317,0.17829583333333335,0.1676375,0.48525,0.4854416666666666
DK0012R,2019-06-03 07:00:00,2019-06-04 07:00:00,24.0,0.731,0.16164166666666668,0.15715833333333334,0.4003666666666667,0.39995833333333336
DK0012R,2019-06-04 07:00:00,2019-06-05 07:00:00,24.0,0.801,0.20653333333333335,0.19333333333333333,0.471025,0.4705333333333333
DK0012R,2019-06-05 07:00:00,2019-06-06 07:00:00,24.0,1.23,0.49119166666666664,0.48320416666666666,0.8259333333333334,0.8281124999999999
DK0012R,2019-06-06 07:00:00,2019-06-07 07:00:00,24.0,1.114,0.18194166666666667,0.17833333333333334,0.45895833333333336,0.45949166666666663
DK0012R,2019-06-07 07:00:00,2019-06-08 07:00:00,24.0,0.467,0.10609583333333333,0.1002125,0.12707916666666666,0.1273
DK0012R,2019-06-08 07:00:00,2019-06-09 07:00:00,24.0,0.487,0.1945583333333333,0.186925,0.18237083333333337,0.1826916666666667
DK0012R,2019-06-09 07:00:00,2019-06-10 07:00:00,24.0,0.512,0.16264166666666666,0.14948333333333333,0.26562083333333336,0.26715416666666664
DK0012R,2019-06-10 07:00:00,2019-06-11 07:00:00,24.0,0.508,0.17090833333333336,0.1553125,0.17981666666666665,0.18036249999999998
DK0012R,2019-06-11 07:00:00,2019-06-12 07:00:00,24.0,0.572,0.21667916666666667,0.200425,0.3337208333333333,0.33450833333333335
DK0012R,2019-06-12 07:00:00,2019-06-13 07:00:00,24.0,0.734,0.20320833333333332,0.17843750000000003,0.5429624999999999,0.5417791666666667
DK0012R,2019-06-13 07:00:00,2019-06-14 07:00:00,24.0,0.516,0.15229583333333332,0.14809583333333334,0.1948,0.19554583333333334
DK0012R,2019-06-14 07:00:00,2019-06-15 07:00:00,24.0,0.467,0.11145000000000001,0.11094583333333334,0.29504166666666665,0.29567916666666666
DK0012R,2019-06-15 07:00:00,2019-06-16 07:00:00,24.0,0.449,0.11917916666666666,0.11095416666666669,0.1980875,0.197925
DK0012R,2019-06-16 07:00:00,2019-06-17 07:00:00,24.0,0.663,0.24139166666666667,0.2359625,0.29101249999999995,0.29167499999999996
DK0012R,2019-06-17 07:00:00,2019-06-18 07:00:00,24.0,0.64,0.20422916666666668,0.1988916666666667,0.48514166666666664,0.48602083333333335
DK0012R,2019-06-18 07:00:00,2019-06-19 07:00:00,24.0,0.949,0.3688666666666666,0.370175,0.4720958333333333,0.47315833333333335
DK0012R,2019-06-19 07:00:00,2019-06-20 07:00:00,24.0,1.085,0.5123125000000001,0.5129958333333333,0.6782291666666667,0.6808875
DK0012R,2019-06-20 07:00:00,2019-06-21 07:00:00,24.0,0.642,0.15720416666666667,0.15028333333333335,0.2925041666666667,0.29283750000000003
DK0012R,2019-06-21 07:00:00,2019-06-22 07:00:00,24.0,0.422,0.18047916666666666,0.17004166666666665,0.23444166666666666,0.23479583333333331
DK0012R,2019-06-22 07:00:00,2019-06-23 07:00:00,24.0,0.408,0.14554999999999998,0.1464291666666667,0.11638333333333332,0.11630416666666665
DK0012R,2019-06-23 07:00:00,2019-06-24 07:00:00,24.0,0.626,0.08790833333333332,0.08862083333333333,0.27121666666666666,0.2710875
DK0012R,2019-06-24 07:00:00,2019-06-25 07:00:00,24.0,0.412,0.08612083333333333,0.08601249999999999,0.18757499999999996,0.18772916666666664
DK0012R,2019-06-25 07:00:00,2019-06-26 07:00:00,24.0,0.933,0.35217916666666665,0.35374999999999995,0.5597791666666666,0.5611666666666667
DK0012R,2019-06-26 07:00:00,2019-06-27 07:00:00,24.0,0.673,0.255075,0.24887916666666665,0.42492916666666664,0.4258625
DK0012R,2019-06-29 07:00:00,2019-06-30 07:00:00,24.0,0.458,0.15577083333333333,0.1541375,0.3520583333333333,0.35225833333333334
DK0012R,2019-06-30 07:00:00,2019-07-01 07:00:00,24.0,0.896,0.26414166666666666,0.2553083333333333,0.45277916666666673,0.45305833333333334
DK0012R,2019-07-01 07:00:00,2019-07-02 07:00:00,24.0,0.308,0.10438333333333333,0.09608333333333334,0.18561249999999999,0.185825
DK0012R,2019-07-02 07:00:00,2019-07-03 07:00:00,24.0,0.185,0.08536250000000001,0.0808625,0.09707500000000001,0.0971125
DK0012R,2019-07-03 07:00:00,2019-07-04 07:00:00,24.0,0.199,0.12295416666666666,0.12075833333333334,0.1613,0.16137083333333332
DK0012R,2019-07-04 07:00:00,2019-07-05 07:00:00,24.0,0.179,0.07378333333333333,0.062212500000000004,0.2178,0.21795416666666667
DK0012R,2019-07-05 07:00:00,2019-07-06 07:00:00,24.0,0.291,0.05804166666666666,0.0557125,0.11921666666666668,0.11951666666666666
DK0012R,2019-07-06 07:00:00,2019-07-07 07:00:00,24.0,0.291,0.06354583333333334,0.054904166666666664,0.1484,0.14848333333333333
DK0012R,2019-07-07 07:00:00,2019-07-08 07:00:00,24.0,0.304,0.15922916666666667,0.14502083333333335,0.1728333333333333,0.17307916666666667
DK0012R,2019-07-08 07:00:00,2019-07-09 07:00:00,24.0,0.273,0.10044583333333333,0.09225833333333333,0.16480416666666667,0.16480416666666667
DK0012R,2019-07-09 07:00:00,2019-07-10 07:00:00,24.0,0.3,0.08273333333333333,0.0784625,0.16062083333333332,0.16080416666666666
DK0012R,2019-07-10 07:00:00,2019-07-11 07:00:00,24.0,0.407,0.12895833333333334,0.12867916666666668,0.22355416666666664,0.22374583333333334
DK0012R,2019-07-11 07:00:00,2019-07-12 07:00:00,24.0,0.558,0.1563125,0.15365416666666668,0.24233749999999998,0.242175
DK0012R,2019-07-14 07:00:00,2019-07-15 07:00:00,24.0,0.559,0.21090416666666667,0.20555833333333337,0.24275000000000002,0.24274166666666663
