LC,LAI,SAI,T2,RH,VPD,PS,ZEN,RAIN,dsnow,PARdbh,PARdif,PARsun,PARshade,Hd,LE,UREF,USTmod,UST,LAIsunfrac,Fphen,Flight,Fsun,Ftemp,Fvpd,FSW,Fenv,gsto,gsun,FstO3,Ra,Rb,Gns,Gsto,Rsur,Vg3NH3,NH3_ppb,Time
9,2.021,2.521,2.619,0.727,0.202,1036.0,110.5,0.0,3.469e-16,0.0,0.0,0.0,0.0,-40.66,3.6,4.154,0.3046,0.1836,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,123.2,37.23,0.005,0.0,200.0,0.003329,13.25,2019-01-02 18:00:00
9,2.021,2.521,2.278,0.744,0.184,1036.0,119.8,0.0,3.469e-16,0.0,0.0,0.0,0.0,-40.66,3.6,3.96,0.3044,0.1749,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,129.4,39.07,0.005,0.0,200.0,0.003275,13.05,2019-01-02 19:00:00
9,2.021,2.521,1.937,0.761,0.168,1036.0,129.0,0.0,3.469e-16,0.0,0.0,0.0,0.0,-40.66,3.6,3.794,0.3042,0.1675,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,135.2,40.81,0.005,0.0,200.0,0.003225,12.33,2019-01-02 20:00:00
9,2.021,2.521,1.597,0.779,0.152,1036.0,137.8,0.001002,3.469e-16,0.0,0.0,0.0,0.0,-24.43,4.525,3.658,0.3259,0.1859,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,105.8,36.76,0.005,0.0,200.0,0.00336,11.77,2019-01-02 21:00:00
9,2.021,2.521,2.198,0.78,0.158,1036.0,145.2,0.001002,3.469e-16,0.0,0.0,0.0,0.0,-24.43,4.525,3.628,0.3262,0.1845,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,106.6,37.04,0.005,0.0,200.0,0.003351,11.11,2019-01-02 22:00:00
9,2.021,2.521,2.8,0.781,0.164,1036.0,150.1,0.001002,3.469e-16,0.0,0.0,0.0,0.0,-24.43,4.525,3.601,0.3266,0.1832,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,107.3,37.31,0.005,0.0,200.0,0.003344,10.6,2019-01-02 23:00:00
9,2.032,2.532,3.402,0.782,0.17,1036.0,151.0,0.03671,3.469e-16,0.0,0.0,0.0,0.0,-18.27,3.874,3.577,0.2684,0.1733,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,119.1,39.44,0.005,0.0,200.0,0.003276,10.35,2019-01-03 00:00:00
9,2.032,2.532,3.195,0.806,0.149,1036.0,147.5,0.03671,3.469e-16,0.0,0.0,0.0,0.0,-18.27,3.874,3.411,0.2683,0.1653,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,124.9,41.36,0.005,0.0,200.0,0.003222,10.22,2019-01-03 01:00:00
9,2.032,2.532,2.989,0.83,0.129,1036.0,140.8,0.03671,3.469e-16,0.0,0.0,0.0,0.0,-18.27,3.874,3.267,0.2682,0.1583,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,130.4,43.19,0.005069,0.0,197.3,0.003199,10.38,2019-01-03 02:00:00
9,2.032,2.532,2.782,0.854,0.109,1036.0,132.4,0.02791,3.469e-16,0.0,0.0,0.0,0.0,-19.26,4.277,3.148,0.2728,0.1525,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,135.4,44.83,0.007991,0.0,125.1,0.004085,10.63,2019-01-03 03:00:00
9,2.032,2.532,2.725,0.868,0.098,1036.0,123.2,0.02791,3.469e-16,0.0,0.0,0.0,0.0,-19.26,4.277,3.083,0.2728,0.1493,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,138.3,45.78,0.00929,0.0,107.6,0.004351,11.08,2019-01-03 04:00:00
9,2.032,2.532,2.667,0.882,0.088,1036.0,113.9,0.02791,3.469e-16,0.0,0.0,0.0,0.0,-19.26,4.277,3.024,0.2728,0.1464,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,141.0,46.67,0.01246,0.0,80.25,0.004882,12.07,2019-01-03 05:00:00
9,2.032,2.532,2.61,0.895,0.077,1036.0,104.8,0.003798,3.469e-16,0.0,0.0,0.0,0.0,-16.5,2.606,2.972,0.2587,0.1438,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,143.7,47.53,0.01449,0.0,69.01,0.005105,13.86,2019-01-03 06:00:00
9,2.032,2.532,2.641,0.896,0.077,1036.0,96.3,0.003798,3.469e-16,0.0,0.0,0.0,0.0,-16.5,2.606,2.929,0.2586,0.1417,,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,145.9,48.24,0.01443,0.0,69.31,0.005049,16.81,2019-01-03 07:00:00
9,2.032,2.532,2.672,0.897,0.076,1037.0,88.66,0.003798,3.469e-16,0.004267,5.505,2.513,2.421,-16.5,2.606,2.886,0.2586,0.1396,0.02306,1.0,0.09487,0.09818,0.01,1.0,1.0,0.0009487,5.875e-06,6.079e-06,0.0,148.1,48.96,0.01437,1.637e-05,69.53,0.004994,20.97,2019-01-03 08:00:00
9,2.032,2.532,2.703,0.898,0.076,1037.0,82.27,0.01547,3.469e-16,14.93,29.28,69.21,13.7,6.875,19.37,2.842,0.3117,0.1746,0.1322,1.0,0.4983,0.942,0.01,1.0,1.0,0.004983,3.086e-05,5.833e-05,0.0,90.35,39.14,0.0143,8.599e-05,69.49,0.005841,25.69,2019-01-03 09:00:00
9,2.032,2.532,3.477,0.87,0.102,1037.0,77.54,0.01547,3.469e-16,40.71,46.88,117.1,22.68,6.875,19.37,2.854,0.3121,0.1753,0.2104,1.0,0.6876,0.9919,0.01,1.0,1.0,0.006876,4.27e-05,6.16e-05,0.0,90.03,38.99,0.008483,0.000119,116.3,0.004596,24.58,2019-01-03 10:00:00
9,2.032,2.532,4.251,0.841,0.131,1037.0,74.83,0.01547,3.469e-16,57.62,56.04,137.5,27.43,6.875,19.37,2.891,0.3126,0.1776,0.2522,1.0,0.7572,0.9965,0.01,1.0,1.0,0.007572,4.715e-05,6.206e-05,0.0,88.9,38.5,0.005915,0.0001314,165.4,0.003768,23.78,2019-01-03 11:00:00
9,2.032,2.532,5.026,0.813,0.163,1037.0,74.39,0.003981,3.469e-16,53.17,60.4,127.9,29.12,-4.855,17.36,2.953,0.3573,0.1711,0.2588,1.0,0.7749,0.9948,0.01,1.0,1.0,0.007749,4.839e-05,6.212e-05,0.0,100.9,39.95,0.005,0.0001348,194.7,0.003338,23.94,2019-01-03 12:00:00
9,2.032,2.532,5.0,0.81,0.166,1037.0,76.25,0.003981,3.469e-16,42.8,53.53,115.7,25.66,-4.855,17.36,3.087,0.3573,0.1788,0.2307,1.0,0.7303,0.9914,0.01,1.0,1.0,0.007303,4.56e-05,6.191e-05,0.0,96.51,38.22,0.005,0.0001271,195.0,0.003386,23.7,2019-01-03 13:00:00
9,2.032,2.532,4.974,0.807,0.168,1037.0,80.24,0.003981,3.469e-16,22.16,37.79,83.14,17.8,-4.855,17.36,3.241,0.3573,0.1878,0.1665,1.0,0.5936,0.9673,0.01,1.0,1.0,0.005936,3.706e-05,6.039e-05,0.0,91.91,36.4,0.005,0.0001033,196.0,0.003431,21.31,2019-01-03 14:00:00
